no,date,tank,block,trt,order,sync,species,mass_mg
314,17-May,32,4,same_low,same,low,hyla,156.8
315,17-May,33,4,early_low,early,low,hyla,125.6
316,17-May,37,4,early_high,early,high,hyla,156
317,17-May,46,5,early_high,early,high,hyla,119.5
318,17-May,48,5,early_med,early,med,hyla,161.9
319,17-May,50,5,cont_med,cont,med,hyla,171
320,17-May,55,6,early_low,early,low,hyla,165.5
321,17-May,57,6,same_low,same,low,hyla,146.5
322,17-May,57,6,same_low,same,low,hyla,134.1
323,18-May,20,2,cont_med,cont,med,hyla,138
324,18-May,26,3,early_high,early,high,hyla,118.4
325,18-May,30,3,cont_low,cont,low,hyla,234.8
326,18-May,37,4,early_high,early,high,hyla,137.9
327,18-May,52,6,early_high,early,high,hyla,159.5
328,18-May,53,6,early_med,early,med,hyla,130.1
329,18-May,53,6,early_med,early,med,hyla,138.2
330,18-May,60,6,cont_low,cont,low,hyla,209.7
331,19-May,3,1,early_low,early,low,hyla,150.4
332,19-May,13,2,early_low,early,low,hyla,133.9
333,19-May,21,3,same_med,same,med,hyla,144.7
334,19-May,23,3,late_low,late,low,hyla,133.6
335,19-May,26,3,early_high,early,high,hyla,135.3
336,19-May,26,3,early_high,early,high,hyla,152
337,19-May,30,3,cont_low,cont,low,hyla,170.1
338,19-May,30,3,cont_low,cont,low,hyla,181.5
339,19-May,30,3,cont_low,cont,low,hyla,191.3
340,19-May,51,6,late_med,late,med,hyla,210.9
341,20-May,15,2,early_high,early,high,hyla,193.2
342,20-May,40,4,cont_high,cont,high,hyla,114.9
343,20-May,46,5,early_high,early,high,hyla,NA
344,20-May,46,5,early_high,early,high,hyla,106.9
345,20-May,48,5,early_med,early,med,hyla,164.7
346,20-May,52,6,early_high,early,high,hyla,153.2
347,20-May,55,6,early_low,early,low,hyla,239
348,21-May,20,2,cont_med,cont,med,hyla,164.8
349,21-May,24,3,early_med,early,med,hyla,129.6
350,21-May,30,3,cont_low,cont,low,hyla,161.5
351,21-May,33,4,early_low,early,low,hyla,144.5
352,21-May,40,4,cont_high,cont,high,hyla,NA
353,21-May,40,4,cont_high,cont,high,hyla,NA
354,21-May,46,5,early_high,early,high,hyla,155.2
355,21-May,50,5,cont_med,cont,med,hyla,162.1
356,21-May,52,6,early_high,early,high,hyla,135
357,22-May,21,3,same_med,same,med,hyla,148.9
358,22-May,21,3,same_med,same,med,hyla,141.4
359,22-May,24,3,early_med,early,med,hyla,125.7
360,22-May,32,4,same_low,same,low,hyla,188.7
361,22-May,38,4,early_med,early,med,hyla,156.9
362,22-May,38,4,early_med,early,med,hyla,146
363,22-May,42,5,early_low,early,low,hyla,171.8
364,22-May,46,5,early_high,early,high,hyla,135.5
365,22-May,50,5,cont_med,cont,med,hyla,185.5
366,22-May,52,6,early_high,early,high,hyla,138.5
367,22-May,60,6,cont_low,cont,low,hyla,244.1
368,23-May,23,3,late_low,late,low,hyla,148.6
369,23-May,40,4,cont_high,cont,high,hyla,159.7
370,23-May,40,4,cont_high,cont,high,hyla,158.2
371,23-May,40,4,cont_high,cont,high,hyla,182.6
372,23-May,40,4,cont_high,cont,high,hyla,160.2
373,23-May,50,5,cont_med,cont,med,hyla,207.4
374,23-May,50,5,cont_med,cont,med,hyla,151.9
375,23-May,60,6,cont_low,cont,low,hyla,261.3
376,24-May,15,2,early_high,early,high,hyla,144.3
377,24-May,20,2,cont_med,cont,med,hyla,163.5
378,24-May,40,4,cont_high,cont,high,hyla,158.8
379,24-May,50,5,cont_med,cont,med,hyla,154.6
380,24-May,60,6,cont_low,cont,low,hyla,258.4
381,25-May,15,2,early_high,early,high,hyla,157.8
382,25-May,30,3,cont_low,cont,low,hyla,140.7
383,25-May,37,4,early_high,early,high,hyla,145.1
384,25-May,38,4,early_med,early,med,hyla,147.9
385,25-May,51,6,late_med,late,med,hyla,142.3
386,25-May,53,6,early_med,early,med,hyla,161.2
387,25-May,53,6,early_med,early,med,hyla,144.9
388,25-May,60,6,cont_low,cont,low,hyla,241.2
389,26-May,14,2,same_med,same,med,hyla,132.9
390,26-May,23,3,late_low,late,low,hyla,118.7
