"","tank","sync.x","block.x","trt.x","order.x","trt.y","order.y","sd","se","ci","cont","adj","biom_cont","emer_cont","emsd_cont","mass_cont","surv_cont","X","block.y","trt","order","sync.y","surv","biom","mass","emer","emsd","rana"
"50",11,"med",2,"early_med","early","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,11,2,"early_med","early","med",0.8,7241.66910069178,201.697058823529,79.3888888888889,28.3853863586557,0
"51",12,"low",2,"same_low","same","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"52",12,"low",2,"same_low","same","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"53",12,"low",2,"same_low","same","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"54",12,"low",2,"same_low","same","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"55",12,"low",2,"same_low","same","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,12,2,"same_low","same","low",0.422222222222222,3531.2,185.852631578947,64.5789473684211,24.0423602776287,0.5
"56",13,"low",2,"early_low","early","cont_low","cont",0.03,0.02,0.28,0.58,0,NA,NA,NA,NA,0.58,13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"57",13,"low",2,"early_low","early","cont_low","cont",775.1,548.1,6964.2,6127.3,0,6127.3,NA,NA,NA,NA,13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"58",13,"low",2,"early_low","early","cont_low","cont",0.8,0.6,7.6,10.3,0,NA,NA,10.3,NA,NA,13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"59",13,"low",2,"early_low","early","cont_low","cont",10.2,1.4,2.9,33.4,0,NA,33.4,NA,NA,NA,13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"60",13,"low",2,"early_low","early","cont_low","cont",53.8,7.5,15.1,236.5,0,NA,NA,NA,236.5,NA,13,2,"early_low","early","low",0.511111111111111,4983.08455034589,217.777272727273,80.8695652173913,16.6195513226443,0
"61",14,"med",2,"same_med","same","cont_med","cont",45.8,6.1,12.3,197.4,0,NA,NA,NA,197.4,NA,14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"62",14,"med",2,"same_med","same","cont_med","cont",1.3,0.9,11.9,16.9,0,NA,NA,16.9,NA,NA,14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"63",14,"med",2,"same_med","same","cont_med","cont",16.8,2.1,4.3,43.8,0,NA,43.8,NA,NA,NA,14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"64",14,"med",2,"same_med","same","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"65",14,"med",2,"same_med","same","cont_med","cont",0.03,0.02,0.28,0.69,0,NA,NA,NA,NA,0.69,14,2,"same_med","same","med",0.511111111111111,4327.28455034589,187.968181818182,92.9130434782609,20.8390216213331,0.666666666666667
"66",15,"high",2,"early_high","early","cont_high","cont",0.22,0.16,1.98,0.62,0,NA,NA,NA,NA,0.62,15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"67",15,"high",2,"early_high","early","cont_high","cont",1678.3,1186.7,15078.9,5035.4,0,5035.4,NA,NA,NA,NA,15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"68",15,"high",2,"early_high","early","cont_high","cont",5.6,4,50.2,15.1,0,NA,NA,15.1,NA,NA,15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"69",15,"high",2,"early_high","early","cont_high","cont",24.4,3.3,6.5,55.8,0,NA,55.8,NA,NA,NA,15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"70",15,"high",2,"early_high","early","cont_high","cont",41.9,6.2,12.4,177.2,0,NA,NA,NA,177.2,NA,15,2,"early_high","early","high",0.288888888888889,2459.45365103766,188.35,71.6153846153846,41.8121562497847,0.166666666666667
"71",16,"med",2,"late_med","late","cont_med","cont",497.2,351.6,4467.5,6102.8,0,6102.8,NA,NA,NA,NA,16,2,"late_med","late","med",0.2,1613.56910069178,175.657142857143,105.333333333333,23.9582971014219,0.1
